competitor,category,archetype,target_user,jtbd,features,pricing_model,scope,breadth_score,autonomy_score,workflow_score,trust_score,threat_score,strength,weakness,source_url,source_type,date_checked,confidence
Wellfound,Startup accelerators / hackathon / maker-opportunity platforms,Founder opportunity platform,"founders, hackers, builders","find startup programs, hackathons, jobs, and visibility moments",startup jobs and recruiting,"free to users, sponsorships, recruiting, SaaS",founder and builder opportunities,3,1,2,3,3,startup-specific labor market and candidate network,"jobs-first, not multi-opportunity",https://wellfound.com/jobs,official,2026-05-03,High
Devpost,Startup accelerators / hackathon / maker-opportunity platforms,Founder opportunity platform,"founders, hackers, builders","find startup programs, hackathons, jobs, and visibility moments","public, internal, customer, and student hackathons","free to users, sponsorships, recruiting, SaaS",founder and builder opportunities,3,1,2,3,3,strong network effects in hackathons and builder discovery,hackathon-centric,https://info.devpost.com/,official,2026-05-03,High
DoraHacks,Startup accelerators / hackathon / maker-opportunity platforms,Founder opportunity platform,"founders, hackers, builders","find startup programs, hackathons, jobs, and visibility moments","applications, events, startup jobs, community signals","free to users, sponsorships, recruiting, SaaS",founder and builder opportunities,3,1,2,3,3,strong communities and clear program brands,no cross-opportunity planning layer,https://dorahacks.io/,official,2026-05-03,Medium
Gitcoin Grants,Startup accelerators / hackathon / maker-opportunity platforms,Founder opportunity platform,"founders, hackers, builders","find startup programs, hackathons, jobs, and visibility moments","applications, events, startup jobs, community signals","free to users, sponsorships, recruiting, SaaS",founder and builder opportunities,3,1,2,3,3,strong communities and clear program brands,no cross-opportunity planning layer,https://www.gitcoin.co/grants,official,2026-05-03,Medium
Y Combinator,Startup accelerators / hackathon / maker-opportunity platforms,Founder opportunity platform,"founders, hackers, builders","find startup programs, hackathons, jobs, and visibility moments",direct accelerator application,"free to users, sponsorships, recruiting, SaaS",founder and builder opportunities,3,1,2,3,2,brand gravity and direct founder demand,"single program, not discovery infrastructure",https://www.ycombinator.com/apply,official,2026-05-03,High
HackerEarth,Startup accelerators / hackathon / maker-opportunity platforms,Founder opportunity platform,"founders, hackers, builders","find startup programs, hackathons, jobs, and visibility moments",coding challenges and hackathons,"free to users, sponsorships, recruiting, SaaS",founder and builder opportunities,3,1,2,3,3,developer challenge distribution,not a broad life-opportunity product,https://www.hackerearth.com/challenges/,official,2026-05-03,Medium
Product Hunt,Startup accelerators / hackathon / maker-opportunity platforms,Founder opportunity platform,"founders, hackers, builders","find startup programs, hackathons, jobs, and visibility moments","applications, events, startup jobs, community signals","free to users, sponsorships, recruiting, SaaS",founder and builder opportunities,3,1,2,3,3,strong communities and clear program brands,no cross-opportunity planning layer,https://www.producthunt.com/,official,2026-05-03,Medium
OpenVC,Startup accelerators / hackathon / maker-opportunity platforms,Founder opportunity platform,"founders, hackers, builders","find startup programs, hackathons, jobs, and visibility moments","applications, events, startup jobs, community signals","free to users, sponsorships, recruiting, SaaS",founder and builder opportunities,3,1,2,3,3,strong communities and clear program brands,no cross-opportunity planning layer,https://openvc.app/,official,2026-05-03,Medium
Unstop,Startup accelerators / hackathon / maker-opportunity platforms,Founder opportunity platform,"founders, hackers, builders","find startup programs, hackathons, jobs, and visibility moments","applications, events, startup jobs, community signals","free to users, sponsorships, recruiting, SaaS",founder and builder opportunities,3,1,2,3,3,strong communities and clear program brands,no cross-opportunity planning layer,https://unstop.com/,official,2026-05-03,Medium
Devfolio,Startup accelerators / hackathon / maker-opportunity platforms,Founder opportunity platform,"founders, hackers, builders","find startup programs, hackathons, jobs, and visibility moments",single application layer for hackathons,"free to users, sponsorships, recruiting, SaaS",founder and builder opportunities,3,1,2,3,3,good UX and direct builder relevance,geographically and category concentrated,https://devfolio.co/,official,2026-05-03,High
Google Search,General AI agents and search tools,General AI/search assistant,everyone,"search, summarize, and brainstorm on demand",web search and alerts,free and subscription,horizontal,5,2,1,3,4,cheap and flexible for ad hoc research,no persistent structured workflow or deadline memory,https://www.google.com/,official,2026-05-03,Medium
Perplexity,General AI agents and search tools,General AI/search assistant,everyone,"search, summarize, and brainstorm on demand",citation-heavy search and answer workflow,free and subscription,horizontal,5,2,1,3,4,good substitute for discovery and quick filtering,little structured execution workflow,https://www.perplexity.ai/,official,2026-05-03,Medium
ChatGPT,General AI agents and search tools,General AI/search assistant,everyone,"search, summarize, and brainstorm on demand","chat, drafting, reasoning, ad hoc research",free and subscription,horizontal,5,2,1,3,4,easy default tool for opportunity brainstorming and writing help,no owned database or persistent opportunity CRM by default,https://chatgpt.com/,official,2026-05-03,Medium
Claude,General AI agents and search tools,General AI/search assistant,everyone,"search, summarize, and brainstorm on demand","web search, chat, summarization, drafting",free and subscription,horizontal,5,2,1,3,4,cheap and flexible for ad hoc research,no persistent structured workflow or deadline memory,https://claude.ai/,official,2026-05-03,Medium
Gemini,General AI agents and search tools,General AI/search assistant,everyone,"search, summarize, and brainstorm on demand","web search, chat, summarization, drafting",free and subscription,horizontal,5,2,1,3,4,cheap and flexible for ad hoc research,no persistent structured workflow or deadline memory,https://gemini.google.com/,official,2026-05-03,Medium
Microsoft Copilot,General AI agents and search tools,General AI/search assistant,everyone,"search, summarize, and brainstorm on demand","web search, chat, summarization, drafting",free and subscription,horizontal,5,2,1,3,4,cheap and flexible for ad hoc research,no persistent structured workflow or deadline memory,https://copilot.microsoft.com/,official,2026-05-03,Medium
Telegram channels,Manual substitutes,Manual stack,everyone,discover and track opportunities with general tools,community-shared links and alerts,free or low cost,horizontal but manual,4,0,1,3,3,timely and social,hard to search or track systematically,,estimate,2026-05-03,Low
Discord communities,Manual substitutes,Manual stack,everyone,discover and track opportunities with general tools,"search, messaging, spreadsheets, notes, alerts",free or low cost,horizontal but manual,4,0,1,3,3,flexible and cheap,"fragile, memory-heavy, and non-scalable",,estimate,2026-05-03,Low
newsletters,Manual substitutes,Manual stack,everyone,discover and track opportunities with general tools,"search, messaging, spreadsheets, notes, alerts",free or low cost,horizontal but manual,4,0,1,3,3,flexible and cheap,"fragile, memory-heavy, and non-scalable",,estimate,2026-05-03,Low
Google Alerts / RSS,Manual substitutes,Manual stack,everyone,discover and track opportunities with general tools,"search, messaging, spreadsheets, notes, alerts",free or low cost,horizontal but manual,4,0,1,3,3,flexible and cheap,"fragile, memory-heavy, and non-scalable",,estimate,2026-05-03,Low
Notion / Airtable trackers,Manual substitutes,Manual stack,everyone,discover and track opportunities with general tools,"custom databases, views, reminders, notes",free or low cost,horizontal but manual,4,0,1,3,3,high flexibility without product constraints,"the user still has to discover, score, and update everything",,estimate,2026-05-03,Medium
spreadsheets,Manual substitutes,Manual stack,everyone,discover and track opportunities with general tools,"manual list building, status tracking, deadlines",free or low cost,horizontal but manual,4,0,1,3,3,cheap and flexible for small pipelines,breaks once opportunities and documents multiply,,estimate,2026-05-03,Medium
personal assistant / VA,Manual substitutes,Manual stack,everyone,discover and track opportunities with general tools,"search, messaging, spreadsheets, notes, alerts",free or low cost,horizontal but manual,4,0,1,3,3,flexible and cheap,"fragile, memory-heavy, and non-scalable",,estimate,2026-05-03,Low
